PNA;NAZWA PLACÓWKI;MIEJSCOWOŚĆ;ULICA;NR;GMINA;POWIAT;WOJEWÓDZTWO
43-150;FUP Bieruń Nowy;Bieruń;ks. Jana Trochy;19;Bieruń;bieruńsko-lędziński;śląskie
43-156;FUP Bieruń Nowy;Bieruń;Turystyczna;1;Bieruń;bieruńsko-lędziński;śląskie
56-420;AP Bierutów;Bierutów;Wrocławska;21;Bierutów;oleśnicki;dolnośląskie
62-651;AP Bierzwienna Długa;Bierzwienna Długa;;28;Kłodawa;kolski;wielkopolskie
78-324;AP Bierzwnica;Bierzwnica;;49;Świdwin;świdwiński;zachodniopomorskie
11-036;AP Biesal;Biesal;;14;Gietrzwałd;olsztyński;warmińsko-mazurskie
77-230;AP Biesowice;Biesowice;;36/2;Kępice;słupski;pomorskie
38-213;AP Bieździedza;Bieździedza;;97;Kołaczyce;jasielski;podkarpackie
09-320;UP Bieżuń;Bieżuń;Zacisze;1;Bieżuń;żuromiński;mazowieckie
09-317;FUP Bieżuń;Lutocin;Żeromskiego;2;Lutocin;żuromiński;mazowieckie
26-026;AP Bilcza;Bilcza;Marmurowa;2;Morawica;kielecki;świętokrzyskie
23-400;UP Biłgoraj 1;Biłgoraj;Tadeusza Kościuszki;81;Biłgoraj;biłgorajski;lubelskie
23-400;FUP Biłgoraj 1;Biłgoraj;Włosiankarska;5;Biłgoraj;biłgorajski;lubelskie
23-415;FUP Biłgoraj 1;Księżpol;Biłgorajska;12;Księżpol;biłgorajski;lubelskie
23-407;FUP Biłgoraj 1;Tereszpol-Zaorenda;Szkolna;3;Tereszpol;biłgorajski;lubelskie
23-401;UP Biłgoraj 3;Biłgoraj;Plac Wolności;9;Biłgoraj;biłgorajski;lubelskie
63-452;AP Biniew;Biniew;;100;Ostrów Wielkopolski;ostrowski;wielkopolskie
77-324;AP Bińcze;Bińcze;;10A;Czarne;człuchowski;pomorskie
37-740;UP Bircza;Bircza;Rynek;9;Bircza;przemyski;podkarpackie
62-007;AP Biskupice;Biskupice;Dworcowa;3;Pobiedziska;poznański;wielkopolskie
11-300;UP Biskupiec;Biskupiec;Dworcowa;3;Biskupiec;olsztyński;warmińsko-mazurskie
11-300;FUP Biskupiec;Biskupiec;Ludowa;48;Biskupiec;olsztyński;warmińsko-mazurskie
11-311;FUP Biskupiec;Kolno;;25;Kolno;olsztyński;warmińsko-mazurskie
13-340;UP Biskupiec k. Iławy;Biskupiec;Grudziądzka;11;Biskupiec;nowomiejski;warmińsko-mazurskie
23-425;UP Biszcza;Biszcza;;79;Biszcza;biłgorajski;lubelskie
11-230;UP Bisztynek;Bisztynek;pl. Wolności;2;Bisztynek;bartoszycki;warmińsko-mazurskie
42-290;UP Blachownia 1;Blachownia;Stefana Żeromskiego;8;Blachownia;częstochowski;śląskie
